Markup,Part/Library name,Parts Per Package,Reference Designator,TinyCAD Symbol,FreePCB Package,Description,,,,,,,,,,,,,,,,,,,,,
library,gen_Passives,,,,,,,,,,,,,,,,,,,,,,,,,,
header,Name,PPP,Ref,Symbol,Package,Description,,Vmax,Imax,V_ACMax,I_ACMax,T_Break,,,,,,,,,Manufacturer,Manufacturer Part,Digi-Key Part,Newark Part,Mouser Part,,Cost
part,FUSE,1,F?,FUSE,,Fuse,,,,,,,,,,,,,,,,,,,,,
header,Name,PPP,Ref,Symbol,Package,Description,,Usage,Datasheet,Picture,Voltage,Capacity,R_Int,T_Max,,,,,,,Manufacturer,Manufacturer Part,Digi-Key Part,Newark Part,Mouser Part,,
part,BATTERY,1,B?,BATTERY,,Single-cell battery,,,,,,,,,,,,,,,,,,,,,
header,Name,PPP,Ref,Symbol,Package,Description,,Usage,Datasheet,Picture,Voltage,Capacity,Cell_Voltage,Num_Cells,R_Int,T_Max,,,,,Manufacturer,Manufacturer Part,Digi-Key Part,Newark Part,Mouser Part,,
part,BATTERY_2,1,B?,BATTERY_2,,Multi-cell battery,,,,,,,,,,,,,,,,,,,,,
library,Power,,,,,,,,,,,,,,,,,,,,,,,,,,
header,Name,PPP,Ref,Symbol,Package,Description,,Usage,Datasheet,Picture,Output Voltage,Output Current,Polarization,Input Voltage,Cable Length,Connector,Supply Type,,,,Manufacturer,Manufacturer Part,Digi-Key Part,Newark Part,Mouser Part,,Cost
part,WALL_WART_5V_1A,1,B?,DC_Wall_Wart,,5V 1A Wall wart with 5.1mm x 2.1mm DC jack connector,,,,,5VDC,1A,Positive center,110-120VAC,6 Ft,2.1mm ID x 5.5mm OD 12mm,Switching,,,,CUI Inc,EPS050100-P5RP,T1038-P5RP-ND,,,,7.16
part,DC_POWER_MF,1,B?,DC_POWER_CABLE_MF,,2.1 x 5.5 power cable - 3ft Male-Female,,,,,,,,,,,,,,,Tensility Internation Corp,CA-2216,CP-2216-ND,,,,3.06
library,gen_Logic,,,,,,,,,,,,,,,,,,,,,,,,,,
header,Name,PPP,Ref,Symbol,Package,Description,,VOH,VOL,IOH,IOL,,,,,,,,,,Manufacturer,Manufacturer Part,Digi-Key Part,Newark Part,Mouser Part,,Cost
part,AND_2,1,Q?,AND,,Two-input AND Gate,,,,,,,,,,,,,,,,,,,,,
part,NAND_2,1,Q?,NAND,,Two-Input NAND Gate,,,,,,,,,,,,,,,,,,,,,
part,OR_2,1,Q?,OR,,Two-Input OR Gate,,,,,,,,,,,,,,,,,,,,,
part,NOR_2,1,Q?,NOR,,Two-Input NOR Gate,,,,,,,,,,,,,,,,,,,,,
part,XOR_2,1,Q?,XOR,,Two-Input XOR Gate,,,,,,,,,,,,,,,,,,,,,
part,XNOR_2,1,Q?,XNOR,,Two-Input XNOR Gate,,,,,,,,,,,,,,,,,,,,,
part,BUFFER,1,Q?,BUFFER,,Buffer,,,,,,,,,,,,,,,,,,,,,
part,NOT,1,Q?,NOT,,Inverter,,,,,,,,,,,,,,,,,,,,,
library,gen_Electromechanical,,,,,,,,,,,,,,,,,,,,,,,,,,
header,Name,PPP,Ref,Symbol,Package,Description,,V_Max,I_Max,R_Max,V_Max_AC,I_Max_AC,,,,,,,,,Manufacturer,Manufacturer Part,Digi-Key Part,Newark Part,Mouser Part,,Cost
part,BUZZER,1,B?,BUZZER,,Buzzer,,,,,,,,,,,,,,,,,,,,,
part,SPEAKER,1,SP?,SPEAKER,,,,,,,,,,,,,,,,,,,,,,,
header,Name,PPP,Ref,Symbol,Package,Description,,V_Max,I_Max,R_Arm,L_Arm,V_BEMF,W_Max,T_Max,Tau_Mech,Tau_Elec,,,,,Manufacturer,Manufacturer Part,Digi-Key Part,Newark Part,Mouser Part,,Cost
part,MOTOR_1PHASE,1,M?,MOTOR_1,,Brushed DC motor,,,,,,,,,,,,,,,,,,,,,
part,MOTOR_3PHASE,1,M?,MOTOR_3,,Brushless DC motor,,,,,,,,,,,,,,,,,,,,,
library,gen_Electromechanical_Relays,,,,,,,,,,,,,,,,,,,,,,,,,,
header,Name,PPP,Ref,Symbol,Package,Description,,V_Max,I_Max,R_Max,V_Max_AC,I_Max_AC,V_Coil,I_Coil,V_Coil_Max,I_Coil_Max,P_Coil_Max,,,,Manufacturer,Manufacturer Part,Digi-Key Part,Newark Part,Mouser Part,,Cost
part,RELAY_SPST_NO,1,REL?,RELAY_SPST_NO,,,,,,,,,,,,,,,,,,,,,,,
part,RELAY_SPST_NC,1,REL?,RELAY_SPST_NC,,,,,,,,,,,,,,,,,,,,,,,
part,RELAY_SPDT,1,REL?,RELAY_SPDT,,,,,,,,,,,,,,,,,,,,,,,
part,RELAY_DPST_NO,1,REL?,RELAY_DPST_NO,,,,,,,,,,,,,,,,,,,,,,,
part,RELAY_DPST_NC,1,REL?,RELAY_DPST_NC,,,,,,,,,,,,,,,,,,,,,,,
part,RELAY_DPST_OPP,1,REL?,RELAY_DPST_OPP,,,,,,,,,,,,,,,,,,,,,,,
library,gen_Electromechanical_Switches,,,,,,,,,,,,,,,,,,,,,,,,,,
header,Name,PPP,Ref,Symbol,Package,Description,,V_Max,I_Max,R_Max,V_Max_AC,I_Max_AC,,,,,,,,,Manufacturer,Manufacturer Part,Digi-Key Part,Newark Part,Mouser Part,,Cost
part,MOM_SPST_NC,1,SW?,SW_MOM_SPST_NC,,Normally closed SPST momentary pushbutton,,,,,,,,,,,,,,,,,,,,,
part,MOM_SPST_NO,1,SW?,SW_MOM_SPST_NO,,Normally open SPST momentary pushbutton,,,,,,,,,,,,,,,,,,,,,
part,MOM_DPST_NO,1,SW?,SW_MOM_DPST_NO,,Normally open two-pole on/off momentary switches,,,,,,,,,,,,,,,,,,,,,
